id,seance_id,date,moment,type,section,sous_section,timestamp,intervention,nb_mots,personnalite,parlementaire,parlementaire_sexe,parlementaire_groupe,fonction,source,pnum
58176,291,2022-10-17,16:00,loi,projet de loi de finances pour 2023 > après l'article 3,après l'article 3,5720,"<p>Nous allons au bout de nos convictions, en toute cohérence.</p>",12,,Véronique Louwagie,F,LR,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230022.asp#2870898,2870898
58184,291,2022-10-17,16:00,loi,projet de loi de finances pour 2023 > après l'article 3,après l'article 3,5800,"<p>Ce débat est intéressant. L'État a besoin de percevoir des impôts, l'important est de savoir lesquels. Il existe des impôts sur la consommation, dont les principaux sont la TVA et la TICPE (taxe intérieure de consommation sur les produits énergétiques) ; des impôts sur le revenu, qui comprennent l'impôt sur les sociétés pour les entreprises ; des impôts sur les transmissions – nous avons longuement parlé la semaine dernière des droits de donation et de succession ; des impôts sur les revenus du capital. Là, nous débattons d'impôts sur un stock, le patrimoine. Or nous, députés du groupe Les Républicains, sommes très défavorables à l'imposition du patrimoine. Nous sommes donc très défavorables au rétablissement de l'ISF, quelque forme qu'il puisse prendre. Nous défendrons d'ailleurs dans un instant l'amendement n° 141, qui tend à supprimer l'IFI.</p>",154,,Véronique Louwagie,F,LR,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230022.asp#2870897,2870897
61138,329,2022-10-18,15:00,question,questions au gouvernement > réforme de la police judiciaire,réforme de la police judiciaire,6320,"<p>Votre question me permet de rappeler qu'après les élections professionnelles nous nous tenons à l'écoute des policiers, qu'il ne s'agit évidemment pas de mettre tout le monde dans des directions départementales – j'ai d'ailleurs moi-même confirmé que les offices et les antennes régionales seraient conservés –, mais qu'il nous faut améliorer les choses.</p>",58,,Stéphane Rambaud,H,RN,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230024.asp#2874040,2874040
61139,329,2022-10-18,15:00,question,questions au gouvernement > réforme de la police judiciaire,réforme de la police judiciaire,6330,"<p>Vous ne pouvez pas plus nous expliquer que le taux d'élucidation est trop bas, qu'il n'y a pas assez d'arrestations de délinquants, que nous ne luttons pas assez contre les violences, et refuser les réformes proposées par le Gouvernement qui nécessitent, il est vrai, du courage.</p><p>Et puis, monsieur le député, j'ai appris deux choses importantes : la première, c'est que vous vous mettez à citer Clemenceau – je ne suis pas certain qu'il s'en serait réjoui</p>",84,Gérald Darmanin,,,,ministre de l'intérieur et des outre-mer,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230024.asp#2874041,2874041
61141,329,2022-10-18,15:00,question,questions au gouvernement > réforme de la police judiciaire,réforme de la police judiciaire,6350,<p>– …</p>,1,Gérald Darmanin,,,,ministre de l'intérieur et des outre-mer,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230024.asp#2874041,2874041
61147,329,2022-10-18,15:00,question,questions au gouvernement > réforme de la police judiciaire,réforme de la police judiciaire,6410,<p>Nous avons terminé les questions au Gouvernement.</p>,8,,Yaël Braun-Pivet,F,REN,présidente,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230024.asp#2874047,2874047
63884,333,2022-10-20,15:00,loi,projet de loi de financement de la sécurité sociale pour 2023 > première partie,première partie,1642,"<p>Ce n'est pas un rappel au règlement, madame la députée.</p>",14,,Caroline Fiat,F,LFI,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230028.asp#2877994,2877994
75181,395,2022-10-28,21:30,loi,projet de loi de finances pour 2023 > mission outre-mer (état b),mission outre-mer (état b),11780,<p>Favorable.</p>,2,,Christian Baptiste,H,SOC,"rapporteur spécial de la commission des finances, de l'économie générale et du contrôle budgétaire",https://www.assemblee-nationale.fr/16/cri/2022-2023/20230040.asp#2893118,2893118
75182,395,2022-10-28,21:30,loi,projet de loi de finances pour 2023 > mission outre-mer (état b),mission outre-mer (état b),11790,<p>Quel est l'avis du Gouvernement ?</p>,6,,Yaël Braun-Pivet,F,REN,présidente,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230040.asp#2893119,2893119
78520,400,2022-11-03,15:00,question,questions au gouvernement > ocean viking,ocean viking,5650,"<p>Il aura lieu mercredi, madame la présidente Panot. Tous les membres du bureau et tous les présidents de groupe ne sont pas présents. Je souhaite que le bureau soit au complet pour se prononcer dans les meilleures conditions.</p>",42,,Yaël Braun-Pivet,F,REN,présidente,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230045.asp#2898386,2898386
92755,469,2022-11-15,15:00,question,questions au gouvernement > réforme des retraites,réforme des retraites,1300,<p>La parole est à Mme la première ministre.</p>,9,,Yaël Braun-Pivet,F,REN,présidente,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230053.asp#2910747,2910747
99983,477,2022-11-18,15:00,loi,orientation et programmation du ministère de l'intérieur > article 1er et rapport annexé (précédemment réservé),article 1er et rapport annexé (précédemment réservé),9750,"<p>L'adoption de l'amendement n° 416 ayant fait tomber l'amendement n° 613, la parole est à Mme Sophie Taillé-Polian, pour soutenir les amendements n° 854, 861 et 743, qui peuvent faire l'objet d'une présentation groupée.</p>",32,,Naïma Moutchou,F,HOR,vice-présidente,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230061.asp#2920564,2920564
100013,477,2022-11-18,15:00,loi,orientation et programmation du ministère de l'intérieur > article 1er et rapport annexé (précédemment réservé),article 1er et rapport annexé (précédemment réservé),10050,"<p>Vous parlez de racisme systémique et de violences : descendez de votre nuage ! Vous ne savez pas ce que vous dites. Aujourd'hui, dans les quartiers difficiles, les gens sont extrêmement satisfaits d'avoir des policiers pour assurer leur sécurité. Dans certaines banlieues, il y a des médecins qui ne rentrent plus, des postiers qui se font agresser ; à Mantes-la-Jolie, des pompiers se sont même fait tirer dessus.</p>",70,,Michaël Taverne,H,RN,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230061.asp#2921028,2921028
100861,478,2022-11-18,21:30,loi,orientation et programmation du ministère de l'intérieur > article 1er et rapport annexé (précédemment réservés),article 1er et rapport annexé (précédemment réservés),8050,"<p>L'amendement n° 597 tend à alerter la représentation nationale sur l'impérieuse nécessité d'accélérer le recrutement et la formation de nos unités de force mobile (UFM). À moins d'un an de la Coupe du monde de rugby, créer onze UFM nécessite de former 800 policiers pour les quatre compagnies républicaines de sécurité de Marseille, Chassieu, Nantes et Montauban, ainsi que 840 gendarmes pour les sept escadrons de Melun, Hyères, Joué-lès-Tours, Villeneuve d'Ascq, Dijon, Thionville et Lodève. Cela semble irréalisable puisqu'il faut environ un an pour former un policier ou un gendarme avant qu'il ne devienne opérationnel pour des missions de sécurisation, de maintien ou de rétablissement de l'ordre.</p><p>Ces amendements visent donc à imposer une échéance précise pour la formation de ces effectifs et d'éviter ainsi une carence sécuritaire lors des événements majeurs que notre pays est sur le point d'accueillir.</p>",159,,Pierrick Berteloot,H,RN,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230062.asp#2920922,2920922
105212,523,2022-11-23,15:00,loi,projet de loi de finances rectificative pour 2022 > discussion générale,discussion générale,1450,<p>Eh oui !</p>,3,,Prisca Thevenot,F,REN,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230066.asp#2925357,2925357
105213,523,2022-11-23,15:00,loi,projet de loi de finances rectificative pour 2022 > discussion générale,discussion générale,1460,"<p>Monsieur le ministre délégué, vous avez déclaré que notre pays résistait admirablement à la crise : c'est une erreur monumentale, et vous ne l'ignorez pas ! Les Français sont en train de mordre la poussière ; ce n'est pas là une impression, un sentiment, mais une réalité. Au troisième trimestre 2022, le salaire mensuel rapporté à l'augmentation des prix a diminué de 2 % !</p>",65,,David Guiraud,H,LFI,,https://www.assemblee-nationale.fr/16/cri/2022-2023/20230066.asp#2925358,2925358
